id,word_count,mean_word_length
944,90.00,3.933333333
945,16.00,3.5625
946,9.00,3.777777778
947,12.00,5.166666667
948,9.00,4.222222222
949,10.00,3.8
950,14.00,3.428571429
951,59.00,4.152542373
952,10.00,4.9
953,8.00,4.75
954,177.00,3.971751412
955,1.00,2
956,4.00,3.25
957,98.00,4.785714286
958,56.00,4.25
959,284.00,4.295774648
960,114.00,4.692982456
961,18.00,4.111111111
962,100.00,3.88
963,75.00,3.733333333
964,16.00,5.1875
965,16.00,3.4375
966,69.00,4.246376812
967,183.00,4.349726776
968,2.00,5
969,6.00,3
970,5.00,2.6
971,16.00,4.125
972,21.00,5.619047619
973,34.00,4.029411765
974,7.00,3.571428571
975,3.00,5.666666667
976,2.00,2.5
977,7.00,3.571428571
978,30.00,4.033333333
979,54.00,4.722222222
980,71.00,4.76056338
981,75.00,5.093333333
982,265.00,4.388679245
983,12.00,4.666666667
984,3.00,5
985,228.00,4.587719298
986,1.00,2
987,32.00,4.53125
988,230.00,4.27826087
989,55.00,5.327272727
990,65.00,4.538461538
991,23.00,4.565217391
992,16.00,4.4375
993,22.00,5.045454545
994,24.00,5
995,164.00,4.847560976
996,75.00,4.44
997,46.00,4.695652174
998,18.00,4.111111111
999,8.00,4.75
1000,24.00,4.958333333
1001,16.00,3.5625
1002,16.00,4
1003,12.00,4.166666667
1004,22.00,3.818181818
1005,348.00,4.370689655
1006,119.00,4.672268908
1007,202.00,4.698019802
1008,136.00,4.897058824
1009,243.00,4.851851852
1010,13.00,4.076923077
1011,10.00,6.1
1012,194.00,4.494845361
1013,124.00,4.709677419
1014,199.00,4.291457286
1015,42.00,4.666666667
1016,144.00,4.506944444
1017,22.00,4.863636364
1018,36.00,6.75
1019,33.00,4.878787879
1020,113.00,4.778761062
1021,17.00,3.411764706
1022,72.00,4.486111111
1023,63.00,4.73015873
1024,54.00,4.407407407
1025,18.00,5.055555556
1026,7.00,4.142857143
1027,13.00,4.307692308
1028,71.00,4.464788732
1029,35.00,4.657142857
1030,34.00,4.441176471
1031,163.00,4.73006135
1032,67.00,4.641791045
1033,173.00,4.843930636
1034,11.00,4.181818182
1035,10.00,5.1
1036,63.00,4.396825397
1037,72.00,4.472222222
1038,36.00,4.694444444
1039,67.00,3.925373134
1040,79.00,4.303797468
1041,7.00,4
1042,17.00,4.470588235
1043,63.00,4.063492063
1044,19.00,4.473684211
1045,9.00,4
1046,3.00,5
1047,1.00,2
1048,11.00,5.181818182
1049,66.00,4.727272727
1050,12.00,3.916666667
1051,177.00,4.039548023
1052,99.00,4.161616162
1053,2.00,5
1054,9.00,4.555555556
1055,100.00,4.57
1056,83.00,3.879518072
1057,2.00,8
1058,90.00,4.522222222
1059,16.00,4.4375
1060,110.00,4.509090909
1061,87.00,4.574712644
1062,13.00,4.692307692
1063,52.00,4.846153846
1064,17.00,4.882352941
1065,13.00,3.538461538
1066,11.00,3.090909091
1067,60.00,4.833333333
1068,35.00,4.657142857
1069,52.00,4.403846154
1070,72.00,4.875
1071,207.00,4.676328502
1072,25.00,4.68
1073,49.00,4.816326531
1074,7.00,3.857142857
1075,13.00,3.769230769
1076,14.00,4
1077,1.00,2
1078,4.00,3.25
1079,12.00,3.416666667
1080,55.00,4.854545455
1081,9.00,4
1082,11.00,4.454545455
1083,45.00,4.244444444
1084,12.00,3.333333333
1085,186.00,4.161290323
1086,25.00,4.64
1087,77.00,4.376623377
1088,13.00,4.153846154
1089,88.00,4.363636364
1090,309.00,4.54368932
1091,27.00,4.148148148
1092,56.00,4.339285714
1093,144.00,4.645833333
1094,71.00,4.718309859
1095,30.00,5.233333333
1096,5.00,4
1097,289.00,4.643598616
1098,45.00,4.111111111
1099,70.00,4.414285714
1100,64.00,4.484375
1101,144.00,4.416666667
1102,24.00,4.708333333
1103,11.00,5
1104,120.00,4.208333333
1105,35.00,4.142857143
1106,55.00,4.454545455
1107,41.00,3.951219512
1108,52.00,4.326923077
1109,132.00,4.674242424
1110,92.00,4.641304348
1111,49.00,4.326530612
1112,41.00,4.317073171
1113,240.00,4.7
1114,37.00,4.594594595
1115,73.00,4.904109589
1116,80.00,4.725
1117,113.00,4.433628319
1118,98.00,4.744897959
1119,75.00,4.4
1120,12.00,4.583333333
1121,273.00,4.307692308
1122,224.00,4.772321429
1123,140.00,4.792857143
1124,118.00,4.711864407
1125,62.00,4.14516129
1126,183.00,4.557377049
1127,56.00,4.696428571
1128,160.00,4.6
1129,216.00,4.513888889
1130,103.00,4.330097087
1131,32.00,4.84375
1132,51.00,4.705882353
1133,55.00,5
1134,81.00,4.654320988
1135,109.00,4.587155963
1136,153.00,4.647058824
1137,90.00,4.511111111
1138,53.00,4.622641509
1139,228.00,4.574561404
1140,267.00,4.880149813
1141,76.00,5.013157895
1142,106.00,4.801886792
1143,36.00,3.861111111
1144,48.00,4.979166667
1145,200.00,4.5
1146,92.00,4.086956522
1147,84.00,5.023809524
1148,87.00,4.448275862
1149,124.00,4.443548387
1150,39.00,3.923076923
1151,25.00,4.28
1152,15.00,4.333333333
1153,38.00,4.394736842
1154,168.00,4.386904762
1155,218.00,4.330275229
1156,161.00,4.298136646
1157,1.00,10
1158,129.00,3.984496124
1159,14.00,3.928571429
1160,150.00,4.066666667
1161,5.00,3.8
1162,102.00,4.323529412
1163,4.00,3.75
1164,88.00,4.727272727
1165,54.00,4.333333333
1166,9.00,3
1167,125.00,4.528
1168,47.00,4.14893617
1169,24.00,3.458333333
1170,29.00,4.896551724
1171,2.00,2.5
1172,35.00,4.542857143
1173,47.00,3.829787234
1174,7.00,4
1175,11.00,3.909090909
1176,7.00,5.285714286
1177,9.00,4.666666667
1178,11.00,3
1179,13.00,4.461538462
1180,114.00,4.736842105
1181,122.00,4.606557377
1182,115.00,4.460869565
1183,73.00,5.054794521
1184,271.00,4.837638376
1185,70.00,5.371428571
1186,7.00,3.571428571
1187,215.00,4.693023256
1188,18.00,3.5
1189,14.00,3.571428571
1190,8.00,4.25
1191,25.00,3.88
1192,7.00,2.714285714
1193,139.00,4.381294964
1194,97.00,4.298969072
1195,17.00,4.470588235
1196,8.00,4.375
1197,5.00,3.6
1198,7.00,5.285714286
1199,56.00,3.875
1200,23.00,4.304347826
1201,20.00,3.35
1202,20.00,4.2
1203,14.00,4.571428571
